SEDE,FACULTAD,PROGRAMA O DEPENDENCIA,NOMBRE DE LA ACTIVIDAD,RESPONSABLE(S),COMUNIDAD BENEFICIADA,VOLUNTARIADO,DESDE ASIGNATURA,NOMBRE DE LA ASIGNATURA (Aplica para actividades desde asignatura),NACIONAL,INTERNACIONAL,ESTUDIANTES,DOCENTES,BENEFICIARIOS,AÑO DE RELACIÓN
Tunja,FCIN,PIAM,APLICACIÓN DE HERRAMIENTAS PARTICIPATIVAS,JULIE ANDREA GIL GÓMEZ,"15 NIÑOS Y UN DOCENTE DEL ALBERGUE INFANTIL DE LA FUNDACIÓN BAUDILIO ACERO, 38 NIÑOS Y UN DOCENTE DEL COLEGIO REYES PATRIA
23 NIÑOS Y UN DOCENTE DEL COLEGIO SANTIAGO APÓSTOL DE DUITAMA
14 NIÑOS Y DOS DOCENTES DEL COLEGIO LA NUEVA FAMILIA DE DUITAMA",No,Si,EDUCACIÓN AMBIENTAL,Si,0,0,0,0,2017
Tunja,FCIN,PIAM,APLICANDO LAS 3 R`S,JULIE ANDREA GIL GÓMEZ,15 NIÑOS DE PRIMARIA COLEGIO GABRIEL GARCÍA MÁRQUEZ TUNJA.,No,Si,EDUCACIÓN AMBIENTAL,Si,0,0,0,0,2017
Tunja,FCIN,PIIN,APOYO A COMUNIDADES EN CONDICIÓN DE VULNERABILIDAD,ÁNGEL ZIPAQUIRÁ,"30 NIÑAS DE LA FUNDACIÓN MILAGROS DE AMOR TUNJA.
80 CANINOS EN CONDICIÓN DE ABANDONO DE LA FUNDACIÓN SALVA, COMBITA.
80 NIÑOS EN CONDICIÓN ESPECIAL DEL MUNICIPIO DE VENTAQUEMADA.",No,Si,ÉTICA PROFESIONAL,Si,0,0,0,0,2018
Tunja,FCIN,PIIN,APOYO A COMUNIDADES VULNERABLES.,ÁNGEL ALESiANDER ZIPAQUIRÁ VARGAS,"NIÑOS Y NIÑAS VINCULADOS A LA FUNDACIÓN ITEDRIS INSCRITOS A LA MODALIDAD DE HOGAR SUSTITUTO DE LA CIUDAD DE TUNJA, SEDES RURALES EL ROBLE Y SOCOTÁ. MUNICIPIO DE VILLA DE LEYVA-BOYACÁ
NIÑAS. FUNDACIÓN MILAGROS DE AMOR, TUNJA",No,Si,ÉTICA PROFESIONAL,Si,0,0,0,0,2019
Tunja,FCHE,PSIC,APOYO A LA APLICACIÓN DE LA BATERÍA DE RIESGOS PSICOSOCIALES A OPERARIAS Y OPERARIOS DEL PROCESO DE POS COSECHA DE LA EMPRESA ESiPORTADORA SAN MARINO FLOWERS SAS Y CI FLORAL DISTRIBUTOR & SERVICES SAS,MÓNICA PÉREZ PRADA,120 OPERARIOS DEL POS COSECHA DE LA EMPRESA ESiPORTADORA SAN MARINO FLOWERS SAS Y CI FLORAL DISTRIBUTOR & SERVICES SAS.,No,Si,ELECTIVA DE PROFUNDIZACIÓN II Y PSIC APLICADA A LAS ORGANIZACIONES Y CALIDAD DE VIDA LABORAL.,Si,0,0,0,0,2017
Tunja,"FCIN
FCSA
FCAC","PIAM
PISI
DMAT
PANI
PAEM
PMED",APOYO A LA COMUNIDAD DEL ASILO SAN JOSÉ DESDE ACTIVIDADES DE GESTIÓN DE INSUMOS Y EL ACOMPAÑAMIENTO PROFESIONAL., CAMILO GUERRERO.,87 MUJERES DEL ASILO SAN JOSÉ DE TUNJA,Si,No,,Si,0,12,0,0,2018
Tunja,"FCIN
FCSA","PIAM
PISI
PIIN
DMAT
PANI
PAEM",APOYO A LAS ACCIONES DEL TRABAJO DE PROYECCIÓN SOCIAL DESDE LA ASIGNATURA BIOESTADÍSTICA EN EL ASILO SAN JOSÉ.,CAMILO GUERRERO.,87 MUJERES DEL ASILO SAN JOSÉ DE TUNJA,Si,No,,Si,0,6,0,0,2017
Tunja,"FCIN 
FCAC","PISI
PANI","APOYO EN LA CELEBRACIÓN DEL DÍA DEL ALUMNO DEL COLEGIO RURAL DE VENTAQUEMADA, SEDE SAN JOSÉ DEL GACAL, CON EL PROPÓSITO DE APORTAR AL OBJETIVO CUATRO DE LOS OBJETIVOS DE DESARROLLO SOSTENIBLE, DESARROLLANDO ACTIVIDADES LÚDICAS QUE INCENTIVEN LA CALIDAD EDUCATIVA.",ÓSCAR ADOLFO QUINTERO FERRO,60 NIÑOS Y NIÑAS DEL INSTITUCIÓN EDUCATIVA PUENTE DE PIEDRA- SEDE SAN JOSÉ DEL GACAL- MUNICIPIO DE VENTAQUEMADA,Si,No,,Si,0,5,0,0,2018
Tunja,FCSA,PMED,ATENCIÓN AL PACIENTE CRÓNICO,JULIETH  RODRÍGUEZ,USUARIOS DEL PROGRAMA DE ENFERMEDADES CRÓNICAS NO TRANSMISIBLES,No,Si,ATENCIÓN AL PACIENTE CRÓNICO,Si,52,0,0,0,20142019
Tunja,"FCJS
FCAC
FCHE","PIAM
PSIC
PCSO
PAEM",APOYO TÉCNICO Y METODOLÓGICO A LA MESA AMBIENTAL REGIONAL DE LA CUENCA MEDIA Y BAJA DEL RÍO SUAREZ.,ÓSCAR ADOLFO QUINTERO FERRO,"13 ORGANIZACIONES CIVILES AMBIENTALES DE LAS PROVINCIAS DE RICAURTE, OCCIDENTE EN BOYACÁ Y DE VÉLEZ EN SANTANDER.",Si,No,,Si,0,6,0,0,2018
Tunja,FCIN,PIAM,APRENDIENDO A RECICLAR,JULIE ANDREA GIL GÓMEZ,17 NIÑOS DE PREESCOLAR DEL COLEGIO CASITA DE DISNEY DE TUNJA.,No,Si,EDUCACIÓN AMBIENTAL,Si,0,0,0,0,2017
Tunja,FCIN,PIAM,APRENDIENDO A RECICLAR,JULIE ANDREA GIL GÓMEZ,23 ESTUDIANTES PREESCOLAR DEL JARDÍN INFANTIL CENTRO NOGAL,No,Si,EDUCACIÓN AMBIENTAL,Si,0,0,0,0,2017
Tunja,FCSA,PMED,ATENCIÓN PRIMARIA EN SALUD,JULIETH RODRÍGUEZ ROBAYO ,USUARIOS DE CONSULTA ESiTERNA EN PROMOCIÓN DE LA SALUD,No,Si,SEMIOLOGÍA,Si,0,85,0,0,20142019
Tunja,FCAC,PCPU,ASESORÍA CONTABLE Y FINANCIERA EN EL SECTOR HOTELERO DE VILLA DE LEYVA,HERIBERTO SÁNCHEZ,HOTELES DEL MUNICIPIO DE VILLA DE LEYVA,No,Si,COSTOS DE SERVICIOS,Si,0,0,0,0,2019
Sogamoso,FCIN,PIAM,ASESORÍA EN EL PLAN DE GESTIÓN INTEGRAL DE RESIDUOS SÓLIDOS (PGIRS) EN INSTITUCIONES EDUCATIVAS,NATALIA SÁNCHEZ,INSTITUCIÓN EDUCATIVA MORADA DEL SOL. 474 PERSONAS DEL COLEGIO SAN JOSÉ. 70 JÓVENES DEL COLEGIO ROBERTO FRANCO ISAZA DEL MUNICIPIO DE TIBASOSA-BOYACÁ. 54 NIÑOS DEL COLEGIO GIMNASIO MODERNO MONTESSORI.,No,Si,RESIDUOS SÓLIDOS,Si,0,0,0,0,2017
Tunja,FCIN,PISI,ASESORÍA EN EL USO DE SISTEMAS DE INFORMACIÓN A EMPRESAS DE LA REGIÓN,MAURICIO OCHOA,"CIBERNÉTICA TUNJA, LICEO LIBRE DE VILLA DE LEYVA, CODES (EMPRESA DE DESARROLLO DE SOFTWARE) TUNJA.",No,Si,SISTEMAS DE INFORMACIÓN,Si,0,0,0,0,2016
Tunja,FCAC,PANI,ASESORÍA EN LA ELABORACIÓN DE UN PLAN DE ESiPORTACIÓN EN LAS EMPRESAS DE SOGAMOSO,OMAR OLIVEROS,"EMPRESAS: FRUBOY MOTTA, ZAFIRO JOYAS Y ACCESORIOS, EMPRESA AGROYACON.",No,Si,NEGOCIOS INTERNACIONALES,Si,0,0,0,0,2017
Tunja,FCIN,PIME,ASESORÍA Y EVALUACIÓN DE PROYECTOS TECNOLÓGICOS ÁREA DE CONTROL ANÁLOGO EN LA INSTITUCIÓN EDUCATIVA TÉCNICA CHICAMOCHA DE TUTA.,YENNY MILENA VEGA,INSTITUCIÓN EDUCATIVA TÉCNICA CHICAMOCHA,No,Si,CONTROL ANÁLOGO DIGITAL,Si,0,0,0,0,2019
Sogamoso,FCJS,PDCP,ASESORÍAS DESDE EL PUNTO DE VISTA JURÍDICO PARA OBTENCIÓN DE LA FORMALIZACIÓN DE SUS TÍTULOS. BIEN SEA POR LA VÍA ADMINISTRATIVA O JUDICIAL.,MIGUEL ÁNGEL APONTE ESTUPIÑAN,COMUNIDAD RURAL DEL MUNICIPIO DE IZA.,No,Si,DERECHO AGRARIO,Si,0,0,0,0,2018
Tunja,FCSA,PFIT,ASOCIACION PARA EL DESARROLLO INTEGRAL DE LAS PERSONAS CON DISCAPACIDAD Y SUS FAMILIAS PODÉIS SER INCLUYENTE,ELIANA MONSALVE JARAMILLO,PERSONAS CON DISCAPACIDAD DE TIPO FÍSICO,No,Si,PRÁCTICA DE INTERVENCIÓN PRIMARIA VII SEMESTRE PFIT,Si,0,0,0,0,2019
Tunja,FCIN,PIAM,"AUDIENCIA AMBIENTAL ""LOS DESAFÍOS AMBIENTALES REGIONALES SANTANDER BOYACÁ EN LAS CUENCAS SUAREZ-SARAVITA, CARARE Y OPÓN"".",ÓSCAR ADOLFO QUINTERO FERRO,160 PARTICIPANTES DE LA AUDIENCIA.,Si,No,,Si,0,2,0,0,2019
Tunja,FCHE,PSIC,AUTOESTIMA Y TOLERANCIA PARA VIVIR CON ELEGANCIA.,DIANA PAULINA FRANKY PINILLA,34 ESTUDIANTES DE 10º GRADO DE LA INSTITUCIÓN EDUCATIVA RURAL DEL SUR,No,Si,"ESiPRESIÓN ORAL Y ESCRITA, Y SEMIÓTICA Y LECTURA CRÍTICA.",Si,0,0,0,0,2017
Tunja,FCSA,PENF,"AUTOESiAMEN DE SENO, CITOLOGÍA CERVICOUTERINA, VACUNACIÓN. PROMOCIÓN DE LA SALUD",CLARA STELLA PUENTES PARRA Y CINTHYA MARCELA MARTÍNEZ ESCALANTE.,"USUARIOS PUESTOS DE SALUD: RUNTA, FUENTE, SAN ANTONIO Y MUI",Si,No,,Si,0,0,0,0,2015
Tunja,FCSA,PIQU,BLEFARITIS Y CONJUNTIVITIS.,NINI JOHANA VALLEJO CASTILLO ,280 ESTUDIANTES DE LA NORMAL SANTIAGO DE TUNJA.,No,Si,FUNDAMENTOS Y PROCESOS QUIRÚRGICOS III,Si,0,15,0,0,2017
Tunja,FCIN,PISI,BRIGADAS ESTUDIANTILES PARA LA SENSIBILIZACIÓN Y/O ALFABETIZACIÓN EN LA IMPORTANCIA Y EL USO HERRAMIENTAS TIC APLICADAS A SU ENTORNO.,JAVIER LEONARDO VARGAS PÁEZ,104 PERSONAS DE LA COMUNIDAD DE TUNJA.,No,Si,INFORMÁTICA BÁSICA,Si,0,0,0,0,2018
Sogamoso,FCJS,PDCP,BUENAS RELACIONES HUMANAS EN SOGAMOSO,CRISTHIAN DAVID BARAJAS GALLO,MIEMBROS DE LAS JUNTAS DE ACCIÓN COMUNAL,No,Si,DERECHO POLICIVO,Si,0,0,0,0,2019
Tunja,FCIN,PISI,"CAPACITACIÓN A DOCENTES I.E. PUENTE DE PIEDRA, EN TEMAS COMO REALIDAD VIRTUAL Y REALIDAD AUMENTADA","DAVID BERNAL BOLÍVAR
MAURICIO VILLATE","7 DOCENTES I. E. PUENTE DE PIEDRA, SEDE SAN JOSÉ DEL GACAL",Si,No,,Si,0,3,0,0,2019
Tunja,FCSA,PMED,BUSCANDO SONRRISAS EN UNA ROSA QUE NO SE MARCHITA.,CAMILO GUERRERO,30 PERSONAS INTERNADAS EN EL ASILO SAN JOSÉ,No,Si,BIOESTADÍSTICA,Si,0,0,0,0,2017
Tunja,FCSA,PENF,CALEIDOSCOPIO,DOCENTE Y ESTUDIANTES DE V SEMESTRE DE LA ROTACIÓN SSR- ATENCIÓN INTEGRAL AL ADOLESCENTE,ADOLESCENTES Y JÓVENES USUARIOS DE LA UNIDAD AMIGABLE DE LA ESE SANTIAGO DE TUNJA.,No,Si,ROTACIÓN SSR- ATENCIÓN INTEGRAL AL ADOLESCENTE,Si,0,0,0,0,2019
Tunja,FCSA,PENF,CALEIDOSCOPIO,MARTHA CECILIA GÓME LEÓN,"872 NIÑOS DE LAS INSTITUCIONES EDUCATIVAS: I.E. SILVINO RODRÍGUEZ, I.E. GONZALO SUÁREZ RENDÓN, I.E. EL LIBERTADOR SIMÓN BOLÍVAR Y I.E. RURAL DEL SUR",No,Si,"CUIDADO INTEGRAL A LA MUJER, AL LACTANTE, AL NIÑO Y AL ADOLESCENTE",Si,0,0,0,0,2018
Tunja,FCSA,PFIT,CARRERA 10K VILLA DE LEIVA: SE DA APOYO PROFESIONAL A LOS PARTICIPANTES DESDE EL PROGRAMA DE PFIT,SANDRA LILIANA CHÍA,120 ATLETAS INSCRITOS EN LA COMPETENCIA,Si,No,,Si,0,6,0,0,2019
Tunja,FCSA,PFIT,CAMPEONES EN ACCIÓN,ELIANA MONSALVE JARAMILLO,PERSONAS CON DISCAPACIDAD DE TIPO PSICOSOCIAL Y COGNITIVO,Si,No,,Si,0,0,0,0,2019
Tunja,FCHE,PSIC,"CELEBRACIÓN MES DE LA VIRGEN DE LAS MERCEDES
INPEC TUNJA",PRACTICANTES DE PSIC SOCIAL Y JURÍDICA (3) Y DOCENTE ASESOR NÉSTOR RICARDO ÁVILA MURILLO,PERSONAS PRIVADAS DE LA LIBERTAD,Si,No,,Si,0,3,0,0,2019
Sogamoso,FCJS,PDCP,CAPACITACIÓN A LAS DIFERENTES COMUNIDADES SOGAMOSEÑAS SOBRE SISTEMAS ALTERNATIVOS DE SOLUCIÓN DE CONFLICTOS (SASC),JHOANA CAROLINA ADAME ERAZO,MIEMBROS DE LAS DIFERENTES JUNTAS DE ACCIÓN COMUNAL (JAC),No,Si,SISTEMAS ALTERNATIVOS DE SOLUCIÓN DE CONFLICTOS,Si,0,0,0,0,2019
Sogamoso,FCJS,PDCP,CAPACITACIÓN EN EL CONOCIMIENTO DE LOS DERECHOS AMBIENTALES CONSAGRADOS EN LA CONSTITUCIÓN NACIONAL,NANCY SUSANA RODRÍGUEZ PATARROYO,ESTUDIANTES DE SECUNDARIA DE SOGAMOSO,No,Si,INTRODUCCIÓN AL PROGRAMA,Si,0,0,0,0,2019
Sogamoso,FCJS,PDCP,"CAPACITACIÓN EN SOLUCIÓN PACÍFICA DE CONFLICTOS A LOS PPL (PERSONAS PRIVADAS DE LA LIBERTAD) EN LA CÁRCEL DE ALTA SEGURIDAD DE CÓMBITA.
ACOMPAÑAMIENTO DESDE LA NORMA EN LA ELABORACIÓN E IMPLEMENTACIÓN DE PLANES PARA LA ATENCIÓN, PREVENCIÓN Y RECUPERACIÓN DE DESASTRES EN EL MUNICIPIO DE GÁMEZA BOYACÁ.",CLAUDIA P. GUERRERO A,"COMUNIDAD DE LA CÁRCEL DE ALTA SEGURIDAD DE CÓMBITA. 
COMUNIDAD DEL MUNICIPIO DE GÁMEZA BOYACÁ.",No,Si,CONSULTORIO JURÍDICO,Si,0,0,0,0,2018
Tunja,FCJS,PCSO,CAPACITACIÓN TÉCNICA Y NARRATIVA PARA CANALES COMUNITARIOS DE MUNICIPIOS DE BOYACÁ,JAIME ALBERTO PULIDO OCHOA,16 CANALES COMUNITARIOS DE MUNICIPIOS DE BOYACÁ.,No,Si,TELEVISIÓN,Si,0,0,0,0,2018
Tunja,FCJS,PCSO,CAPACITACIÓN TÉCNICA Y NARRATIVA PARA CANALES COMUNITARIOS DE MUNICIPIOS DE BOYACÁ,JAIME ALBERTO PULIDO OCHOA,600 HABITANTES DE LOS MUNICIPIOS DEL DEPARTAMENTO.,No,Si,TELEVISIÓN,Si,0,0,0,0,2017
Tunja,FCHE,PSIC,"CAPACITACIÓN Y SENSIBILIZACIÓN EN EDUCACIÓN AMBIENTAL ""CALENTAMIENTO GLOBAL"" EN EL COLEGIO BOYACÁ.",ÓSCAR ADOLFO QUINTERO FERRO,60 ESTUDIANTES DE LOS GRADOS 6º A 10º DEL COLEGIO DE BOYACÁ DE TUNJA,Si,No,,Si,0,3,0,0,2017
Tunja,FCHE,PLIP,CELEBRACIÓN DEL DÍA DE LOS NIÑOS,ÁNGELA MARÍA CHÁVEZ  DIANA  FRANKY PINILLA,"120 ESTUDIANTES DE LA JORNADA DE LA MAÑANA DE LA I.E RURAL DEL SUR, SEDE JOSÉ JOAQUÍN CASTRO MARTÍNEZ.",No,Si,EPISTEMOLOGÍA DE LA EDUCACIÓN,Si,0,0,0,0,2017
Tunja,FCHE,PSIC,"CELEBRACIÓN DÍA DE LAS MERCEDES ( PROGRAMAS CULTURALES QUE INCLUYEN ACTIVIDADES LÚDICAS Y ARTÍSTICAS COMO DANZA, TEATRO, MÚSICA)",DOCENTES PSIC TUNJA,"4.000 PRESOS DEL INPEC DE LAS SEDES: TUNJA, SOGAMOSO, COMBITA Y CHIQUINQUIRÁ.",Si,No,,Si,0,2,0,0,2017
Tunja,FCIN,PIIN,CHARLA TALLER FORTALECIMIENTO SOCIAL EMPRESARIAL PARA PEQUEÑAS UNIDADES PRODUCTIVAS EN BOYACÁ (LUGAR PAIPA),ANA MERCEDES FRAYLE,60 CIUDADANOS PARTICIPANTES ,Si,No,,Si,0,9,0,0,2019
Tunja,FADU,PARQ,CLASE ESPEJO QUE PERMITIERA DAR A CONOCER EL PROYECTO SOCIAL PLASTIMONIUM CON ENTIDADES EDUCATIVAS INTERNACIONALES,ALESiANDRA TORO Y MARCELA ARANGO /MARCELA PINILLA ,ENTIDADES EDUCATIVAS INTERNACIONALES CLASE ESPEJO QUE PERMITIERA DAR A CONOCER EL PROYECTO SOCIAL PLASTIMONIUM ,No,Si,DIAGRAMACION  ,,0,2,0,0,2020
Tunja,FADU,PDMO,COLECCIÓN DE TALLER INFANTIL PRESENTADA EN CENTRO COMERCIAL VIVA Y TUNJA FASHION,"ANDREA MARTÍNEZ
NATALIA GÓMEZ SAAVEDRA",COLEGIO HUELLITAS Y SABERES,Si,No,,Si,0,17,0,0,2019
Tunja,FCIN,PIAM,"CODISEÑO DE JARDINES DE PERMACULTURA PARA LAS FAMILIAS DE JUNTA DE ACCIÓN COMUNAL DE LA VEREDA BOSIGAS, SOTAQUIRÁ",ERIKA FHAISULY SIERRA CÁRDENAS,COMUNIDAD DE LA VEREDA BOSIGAS NORTE DEL MUNICIPIO DE SOTAQUIRÁ – BOYACÁ,No,Si,TECNOLOGÍAS ALTERNATIVAS,Si,0,0,0,0,2019
Tunja,FADU,PDMO,COLECCIÓN DE TALLER DEPORTIVO PRESENTADA EN COLISEO DE LA UNIVERSIDAD DE BOYACÁ,CAMILA CUBILLOS ACHURY,GRUPO FEMI DIVERSAS,Si,No,,Si,0,0,0,0,2019
Tunja,FCJS,PDCP,COMPROMETIDOS SOCIALMENTE CON EL DESARROLLO DE NUESTRA REGIÓN,CLAUDIA P. GUERRERO A,"DUITAMA ( NIÑOS DE 4 A 12 AÑOS), CUCAITA (PROYECTO MEDIO AMBIENTAL) TUNJA (PERROS HABITANTES DE LA CALLE), TUNJA ( MIGRANTES VENEZOLANOS- PONTE EN SUS ZAPATOS)",No,Si,SOCIOLOGÍA JURÍDICA,Si,0,0,0,0,2019
Sogamoso,FCJS,PDCP,COMUNICACIÓN PARA LA SENSIBILIZACIÓN AMBIENTAL.,NÉSTOR MORENO,POBLACIÓN DE LA REGIÓN DE LA PROVINCIA DE SUGAMUSiI,No,Si,DERECHO AMBIENTAL,Si,0,0,0,0,2019
Tunja,FCJS,PCSO,COMUNICACIÓN Y CULTURA EN EL DEPARTAMENTO DE BOYACÁ,CATALINA BELTRÁN ZERDA,45 PERSONAS DE LAS COMUNIDADES BOYACENSES MANIFESTANTES DE LA CULTURA DEL DEPARTAMENTO.,No,Si,COMUNICACIÓN Y CULTURA,Si,0,0,0,0,2017
Tunja,FCJS,PCSO,CON EL ZOOM EN LA RADIO. PROPUESTA METODOLÓGICA PARTICIPATIVA EN EDUCACIÓN MEDIAL EN RADIO Y FOTOGRAFÍA PARA,JAIME PÚLIDO, 25 JÓVENES DE LA FUNDACIÓN TYTZY.,Si,No,,Si,0,0,0,0,2015
Tunja,FCSA,PFIT,CONCIENCIA DE VIDA EN ACCIÓN,ANGIE BACCA SANTACRUZ,PERSONAS MAYORES DEL CLUB NUEVA VIDA,Si,No,,Si,0,0,0,0,2019
